tipo_pelicula,titulo_pelicula,anno_estreno,mes_estreno,id_pelicula,genero_pelicula
Movie,La vie très privée de Monsieur Sim,2015,12,tt4313614,Comedy
Short,The Tomato,2010,por estrenar,tt1597744,Comedy
Short,Screen: Righter,2016,6,tt5834570,Action
Movie,Permitidos,2016,8,tt5680744,Comedy
Short,Sacred Beauty,2016,5,tt5699506,Drama
Short,Knocking,2022,5,tt20413024,Drama
Movie,Aging Youth,2014,por estrenar,tt3822340,Drama
Short,Two Lines of Vagary,2014,4,tt3676798,Comedy
Short,Leaf,2021,3,tt13273700,Comedy
Short,Total Cult,2014,11,tt13546416,Comedy
Short,Dan Lehwer eller 'Men frels oss fra det onde',2024,3,tt31157141,Comedy
Short,Departing,2023,2,tt26774311,Drama
Short,I Can Still Smell Her,2020,8,tt13038020,Drama
Short,Tarantino Spoof Compilation,2012,5,tt6044622,Drama
Short,Wonder Landes,2012,1,tt2966028,Comedy
Movie,The Good Intentions,2017,4,tt6243826,Comedy
Short,On Deaf Ears,2015,por estrenar,tt5261826,Drama
Short,Samoan Tales: Farm Boys,2013,por estrenar,tt3037312,Drama
Short,Brothers,2019,12,tt9614314,Drama
Short,Kracht,2010,6,tt1815781,Drama
Short,The Gamble,2019,5,tt10327558,Drama
Short,How to Get Away from Murder,2020,5,tt32314599,Comedy
Short,Smell,2018,6,tt8376658,Comedy
Short,Free Day,2018,por estrenar,tt9288648,Drama
Movie,"Vitoria, 3 de marzo",2018,5,tt7490282,Drama
Short,Journey,2013,2,tt3120552,Drama
Short,Reborn,2021,10,tt15731426,Drama
Short,First Date: The Beginning,2012,3,tt2328587,Comedy
Movie,Domnisoara Bovary,2021,12,tt26898896,Drama
Short,Alex & Marissa: Chapitre Final,2014,2,tt3304360,Action
Short,Beast,2021,N/A,tt16400268,Drama
Movie,Nome di donna,2018,3,tt8009522,Drama
Short,Street Dykes,2017,10,tt7611380,Comedy
Short,The Interrogation,2012,por estrenar,tt2569524,Drama
Movie,Teka Teki Tika,2021,12,tt14728292,Drama
Short,Un passo alla volta,2022,N/A,tt17534160,Drama
Short,Chauffeur,2013,4,tt2877430,Drama
Short,DNA Be Careful What You Ask for,2022,10,tt15772000,Drama
Short,Domestic,2014,7,tt3949678,Drama
Movie,Belching 37,2011,por estrenar,tt5099068,Drama
Short,Desafío final 5,2012,12,tt3482572,Comedy
Short,Coffee and ECigarettes,2013,por estrenar,tt3072228,Comedy
Short,Ciudad,2010,N/A,tt2458278,Drama
Short,Depersonalization,2017,3,tt6640920,Drama
Short,The Last Attempt,2014,11,tt3860094,Drama
Movie,Promiseland,2019,12,tt27505572,Drama
Short,Nouveau stock,2021,5,tt29475421,Drama
Movie,Proud Citizen,2014,7,tt3529986,Drama
Movie,Starye Shishki,2021,12,tt16968496,Comedy
Short,Everything Happens for a Reason,2013,3,tt2870578,Comedy
Short,Le français sans peine,2017,2,tt23471704,Action
Movie,Advancing of ZQ,2022,N/A,tt12787014,Action
Short,Luminous Dreams,2021,N/A,tt13678408,Drama
Movie,Besties,2012,9,tt1843110,Drama
Short,Hurtcore,2020,10,tt13556256,Drama
Short,Consent,2017,11,tt7746138,Comedy
Movie,À l'ancienne,2024,9,tt31862997,Comedy
Short,Juhannusyö,2014,9,tt3343208,Drama
Short,Carissima (Dearest),2021,por estrenar,tt18291218,Drama
