nombre_actor,anno_nacimiento,peliculas,que_hace,premios
Nishant Dahiya,1991,"83', 'Solitaria es la noche', 'Kedarnath', 'Akelli'",Reparto',
Pragya Jaiswal,1988,"Kanche', 'Akhanda', 'Jaya Janaki Nayaka', 'Akhanda 2'",Reparto',2
Nandini Singh,198,"Kesar', 'Ek Aur Ek Gyarah: By Hook or by Crook', 'Platform', 'Lo Main Aa Gaya'",Reparto',2
Aanchal Singh,,"Dhayam', 'Titoo MBA', 'The Wife', 'Jackson Durai'","Reparto', 'Equipos adicionales'",
Puja Ballutia,,"Titoo MBA', 'Mallika', 'Main Kaun Hoon', ""Sab Theek Hain ft. Madhoo A Wife's Dilemma the Short Cuts""","Guion', 'Reparto'",
Satwant Kaur,,"Udta Punjab', 'Dev.D', 'Singh Is Kinng', 'Ekam: Son of Soil'",Reparto',
Chander Kalra,,"Occidente es occidente', 'None', 'None', 'None'",Reparto',
Balwinder Begowal,,"Jug Jugg Jeeyo', 'Ik Kudi Punjab Di', 'Best of Luck', 'Yaraan Naal Baharaan 2'",Reparto',
Renu Mohali,,"Aaja Mexico Challiye', 'Titoo MBA', 'Saunkan Saunkne', 'Halla Ho: Mission 217'",Reparto',
Arvinder Bhatti,,"Udta Punjab', 'Yaar Mera Rab Warga', 'Qismat', 'Kande'",Reparto',
Soizic Belotti,,"2 años no importan', 'Je suis, tu étais, nous serons', 'Cracs', 'Thunder'","Reparto', 'Especialistas'",
Thomas Didry,,"Dracula Reborn', 'Joséphine, ange gardien', 'Thunder', 'Le jour où tout a basculé'",Reparto',
Alyssa Beckman,,"The Inside', 'Bizzarro Bill', 'Fragile Package', 'None'",Reparto',1
Cristopher Boneta,,"24 Hour Dhivehi: Or How I Learned to Stop Worrying and Love the Maldives', 'Fragile Package', 'None', 'None'",Reparto',1
Ray Kanye,,"Fragile Package', 'None', 'None', 'None'",Reparto',1
Franklin Ricart,,"Guys at Parties Like It', 'Albanian Gangster II: Illyrian Blood', 'The Samaritans', 'Blink-182: Edging'","Dirección de fotografía y cámara', 'Cámara y electricidad', 'Reparto'",
Corrine Spence,,"Fragile Package', 'Workers Con', 'None', 'None'",Reparto',
Mateusz Wieclawek,1993,"El mundo en llamas', 'Konwój', 'Czuwaj', 'El correo de Varsovia'","Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Cámara y electricidad'",
Julia Wieniawa-Narkiewicz,1998,"Hater', 'Small World', 'Nadie duerme en el bosque esta noche', 'Small World'","Reparto', 'Música', 'Composición'",
Zofia Wichlacz,1995,"Varsovia 1944', 'En la ciénaga', 'Winter of the Crow', 'Spoor (El rastro)'",Reparto',3
Andrzej Grabowski,1952,"Pitbull', 'Superprodukcja', 'Dzien swira', 'Pitbull'","Reparto', 'Banda sonora'",3
Lech Dyblik,1956,"Zemsta', 'Valley of the Gods', 'The Passing Bells', 'El extranjero'","Reparto', 'Banda sonora'",
Michal Zbroja,,"Pitbull', 'Botoks', 'Nadie duerme en el bosque esta noche', '8 rzeczy, których nie wiecie o facetach'",Reparto',
Sebastian Stankiewicz,1978,"Pan T.', 'Okna, okna', 'Atrapaalmas', 'Las plagas de Breslavia'","Reparto', 'Producción', 'Equipos adicionales'",1
Robert Wabich,1967,"Ekstradycja', 'Ekstradycja 2', 'Wataha', 'Nadie duerme en el bosque esta noche'","Reparto', 'Banda sonora'",
Izabela Dabrowska,1966,"Ida', 'Bosque adentro', 'Show', ""Rock'n'Roll Eddie""",Reparto',
Wojciech Mecwaldowski,198,"Juliusz', '39 i pól', 'Dzien swira', 'Klangor'",Reparto',1
Marni Russo,1987,"Mortal Kombat', '2:37', 'Vigilantes', 'Ribspreader'","Reparto', 'Especialistas', 'Equipos adicionales'",1
Esther Michelsen,,"Last Lullaby', 'BreakAway', 'Assimilation', 'None'","Reparto', 'Equipos adicionales'",1
Nic Betts,,"Last Lullaby', 'None', 'None', 'None'",Reparto',1
Anna Duin,,"Last Lullaby', 'None', 'None', 'None'",Reparto',1
Morven Brown,,"Tomorrow May Never Come', 'None', 'None', 'None'",Reparto',1
Neil Collingham,,"Tomorrow May Never Come', 'None', 'None', 'None'","Reparto', 'Cámara y electricidad'",
John Crooks,,"Why Would You?', 'Crimen más allá del paraíso', 'Paper Mountain', 'The Lark'","Cámara y electricidad', 'Dirección de fotografía y cámara', 'Dirección'",
James Fox,1939,"Sherlock Holmes', 'Charlie y la fábrica de chocolate', 'Sexy Beast', 'Pasaje a la India'","Reparto', 'Banda sonora'",1
Caitlin Hardie,,"Tomorrow May Never Come', 'None', 'None', 'None'",Reparto',1
Dominique Mitchell,,"Sex Is a God Thing: The Series', 'None', 'None', 'None'",Reparto',1
Katya Morrison,,"Tomorrow May Never Come', 'Wuthering Heights', 'Christmas Fears', 'Tingles'",Reparto',1
Eoin Mullan,,"Tomorrow May Never Come', 'None', 'None', 'None'","Reparto', 'Guion'",1
Abbie Robertson,,"Tomorrow May Never Come', 'Hannah', 'None', 'None'",Reparto',1
Emma Strang,,"Tomorrow May Never Come', 'None', 'None', 'None'","Reparto', 'Vestuario', 'Maquillaje'",1
Sanchari Dutta,,"Saga of a Nobody', 'None', 'None', 'None'",Reparto',1
Paromita Mukherji,,"""The Wife's Letter"", 'Sampurna', 'None', 'None'",Reparto',1
Diganta Nag,,"""The Wife's Letter"", 'None', 'None', 'None'",Reparto',1
Kaushik Roy,,"Hasee Toh Phasee', 'Punglingo Strilingo', 'Dharmajuddha', 'Balijhor'",Reparto',
Bryan Riel,,"Lost and Found', 'Love Handles', 'The Tauntfest', 'A Familiar Story'","Equipos adicionales', 'Reparto', 'Edición'",
Peter Rothbart,,"None', 'None', 'None', 'None'",None,
Emma DenBleyker,,"Lost and Found', 'None', 'None', 'None'",Reparto',
Jacqueline Riel,,"Lost and Found', 'None', 'None', 'None'","Reparto', 'Cámara y electricidad'",
Denise Ivanoff,,"Waiting in the Wings: Still Waiting', 'Airport 212', 'Trending', 'Plant'","Reparto', 'Dirección', 'Producción'",
Ryan Leveille,,"The Emerson Channel Comedy Special', 'Camp Watchachoosits', 'Tenía buena pinta', 'Cruisers & Shakers'","Equipos adicionales', 'Producción', 'Edición'",
Mike Sutton,,"La ciudad es nuestra', 'A Host of Sparrows', 'Valentine Bluffs', 'Rendezvous'","Reparto', 'Producción', 'Especialistas'",54
Alexandra Tebano,,"Native Boy', 'Amando deprisa', 'None', 'None'","Reparto', 'Producción', 'Dirección de producción'",54
Jeremy Adams,,"Sobrenatural', 'Mortal Kombat: La Leyenda de Scorpion', 'Teen Titans Go! Vs. Teen Titans', 'Lego Monkie Kid: A Hero Is Born'","Guion', 'Producción', 'Reparto'",
Katherine Grant-Suttie,1988,"The Iago Epilogue', 'Arte mortal', 'Fallout 76: Steel Reign', 'BRASS: The Lair of the Red Widow'","Reparto', 'Edición', 'Producción'",
Kate Kraay,,"""Charlie's Dilemma"", 'Lane 1974', 'Return to Seattle', 'Manchego!'",Reparto',
Charles Leggett,,"Outside In', 'Delitos del pasado', 'F.E.A.R. 2: Project Origin', 'Forbidden Power'","Reparto', 'Dirección', 'Guion'",3
Tadd Morgan,,"Mario Golf: World Tour', 'Mario & Sonic en los Juegos Olímpicos: Rio 216', 'Mario & Sonic en los Juegos Olímpicos de Invierno: Sochi 214', 'BRASS: The Lair of the Red Widow'",Reparto',
Matthew Sondre Peterson,,"Brass Bolts: DollyMops & French Apaches', 'BRASS: The Kinesigraph', 'BRASS: The Lair of the Red Widow', 'Percy & Reggie and the Great Parisian Air Exposition'",Reparto',
Andrea Dovner,,"Spoon River Anthology', 'None', 'None', 'None'",Reparto',
Clara Dunham,,"The Cocktail Party', 'Spoon River Anthology', 'For Better', 'A Christmas Carol Radio Show'",Reparto',
Michael Sean Erickson,1973,"Bleach', ""Bella's Story"", 'Chameleon', 'The Forgiven'","Reparto', 'Producción', 'Guion'",
Stan Gray,,"Spoon River Anthology', 'None', 'None', 'None'",Reparto',
Raquel Martin,,"Diet of Sex', 'None', 'None', 'None'",Reparto',
Judy Newell,,"Spoon River Anthology', 'Incorruptible', 'None', 'None'",Reparto',
Peggy Powell,,"Spoon River Anthology', 'Mizlansky Zilinsky or Schmucks', 'None', 'None'",Reparto',
Bill Reiner,,"Spoon River Anthology', 'None', 'None', 'None'",Reparto',
Rick Roberts,1965,"El hombre del año', 'Frecuencia macabra', 'Traders', 'An American in Canada'","Reparto', 'Guion', 'Arte'",2
Henry Vermillion,,"The Cocktail Party', 'Spoon River Anthology', 'Mizlansky Zilinsky or Schmucks', 'A Christmas Carol Radio Show'","Reparto', 'Dirección'",2
Joseph Darbe,,"Distorted Carcinoma', 'None', 'None', 'None'",Reparto',2
Sydney Stoner,,"Distorted Carcinoma', 'None', 'None', 'None'",Reparto',2
James Wood,1947,"Vampiros de John Carpenter', 'Hércules', 'Las vírgenes suicidas', 'Videodrome'","Reparto', 'Producción', 'Dirección'",21
Hayden Tursky,,"Set Pickup', 'Expecting', 'Distorted Carcinoma', 'None'","Reparto', 'Guion y continuidad', 'Sonido'",21
Elizabeth Boehler,,"Blood Tank', 'Chronicles of the Dead', 'The Zookeeper', 'Luv Bytz'","Reparto', 'Producción', 'Guion'",21
Collin McDowell,,"Stuck in Traffick', 'Dissolution of Dreams', 'Luv Bytz', 'Damien Shadows, PI: Webisodes'","Edición', 'Edición', 'Producción'",2
Vesta Millard,,"On Blood Moon', 'Marley', 'In the Cards', ""Wait, Wait, Don't Kill Me""","Reparto', 'Producción', 'Guion'",2
Frank Moran,1887,"Los viajes de Sullivan', 'Battle of Broadway', 'No More Women', 'Double Cross'","Reparto', 'Equipos adicionales'",
Anngeannette Pinkston,,"Keys', 'The Vagrant', 'American Wisper', 'Anadellia'","Reparto', 'Producción', 'Dirección'",5
Robert Youngren,1959,"The Long Island Project', 'Marley', 'Ronald', 'Mr. Mullen'","Reparto', 'Producción', 'Guion'",
Catherine Nastasi,,"Donna', 'Clean', 'Bronx SIU', 'The Diner'","Reparto', 'Producción'",3
Violetta Anna Licari,,"Marley', 'Seri', 'Weekend of Recompense', 'Table Talk'","Reparto', 'Producción', 'Dirección'",3
James Paitakis,,"Marley', 'None', 'None', 'None'",Reparto',3
Donna Morales,,"FBI', 'Ellen Waits', ""Pepper's Science"", 'The Wizards Books: A Tale of Three Sisters'","Reparto', 'Producción', 'Localización'",
Ivana Chýlková,1963,"Díky za kazdé nové ráno', 'Cas sluhu', 'Prítelkyne z domu smutku', 'Perfect Days - I zeny maji sve dny'","Reparto', 'Banda sonora'",2
Ondrej Sokol,1971,"Krásno', 'Ordinace v ruzové zahrade', 'Perfect Days - I zeny maji sve dny', 'Nadrazí'","Reparto', 'Guion', 'Dirección'",
Zuzana Bydzovská,1961,"Venkovský ucitel', 'Jan Palach', 'Gympl', 'Mamas & Papas'","Reparto', 'Banda sonora'",5
Vojtech Kotek,1988,"Padesátka', 'Vlastníci', 'Ctrl Emotion', 'Ondrej Brzobohatý: And the Oscar Goes To'","Reparto', 'Dirección', 'Guion'",
Zuzana Krónerová,1952,"Bába z ledu', 'Rudý kapitán', 'Divoké vcely', 'Muz se zajecima usima'","Reparto', 'Banda sonora'",6
Bohumil Klepl,,"None', 'None', 'None', 'None'",None,6
Jirí Zeman,,"Las últimas vacaciones', 'Hitler: El reinado del mal', 'Barbora Poláková: Vono', 'Barbora Poláková: Sami dva'","Reparto', 'Dirección'",
Jan Vondrácek,1966,"Jan Palach', 'Ceské století', 'Matematika zlocinu', 'Teroristka'",Reparto',
Martha Issová,1981,"Sedmero krkavcu', 'Deti noci', 'Buko', 'La casa de la esperanza'","Reparto', 'Guion', 'Banda sonora'",3
Rebeka Lízlerová,,"Nevinnost', 'Perfect Days - I zeny maji sve dny', 'Prípady 1. oddelení', 'Radeji to vyzkousej nekde jinde'",Reparto',
Stephen Graham,1973,"This Is England', 'Hierve', 'Snatch. Cerdos y diamantes', 'Piratas del Caribe: La venganza de Salazar'","Reparto', 'Producción', 'Guion'",14
Seamus O'Neill,1952,"""Dead Man's Shoes"", 'War Horse (Caballo de batalla)', 'Wallace & Gromit: The Curse of the Were-Rabbit', 'Turistas'","Reparto', 'Especialistas'",1
Hannah Walters,1974,"This Is England', 'Hierve', 'Piratas del Caribe: La venganza de Salazar', 'Whitechapel'","Reparto', 'Producción'",
Molly Edmead,,"Gaslighting', 'None', 'None', 'None'",Reparto',
Caroline Lennon,,"King Lear', 'King Lear: A Critical Guide', 'The Archers', ""London's Burning""",Reparto',
Shantell Winsbury,,"Gaslighting', 'None', 'None', 'None'",Reparto',
Millie Winsbury,,"Gaslighting', 'None', 'None', 'None'",Reparto',
Reggie Beak,,"Gaslighting', 'None', 'None', 'None'",Reparto',
Pat Garrett,,"None', 'None', 'None', 'None'","1973', '18', '2h 2min'",
Lisa Payne,,"Ruby Blue', 'Donovan Slacks', 'My Mother', 'Gypo'",Reparto',
Elizaveta Arzamasova,1995,"Pop', 'Dostoevskiy', 'Wolfhound, el guerrero', 'Papiny dochki'",Reparto',1
Mitya Labush,,"August 8', 'Gorod tayn', 'The Idol', 'Otdamsya v khoroshie ruki'",Reparto',
Irina Rozanova,1961,"Ankor, eshchyo ankor!', 'Dva dnya', 'Kolya - perekati pole', 'Dikarka'",Reparto',4
Aleksandr Zelskiy,,"Zolotoy zapas', 'Mech', 'Morpekhi', 'Friday'",Reparto',4
Aleksey Shevchenkov,1974,"Iuda', 'Blindazh', 'Vyzhivshie', 'Voroshilovskiy strelok'",Reparto',1
Anatoliy Gushchin,,"Transilvania, el imperio prohibido', 'Exit', 'Gagarin: Pionero del espacio', 'Estrella: señal de socorro'",Reparto',1
Tatyana Lyutaeva,1965,"Polnoe dykhanie', 'Mechenosets', 'Edinitsa Montevideo', 'Za posledney chertoy'","Reparto', 'Dirección', 'Guion'",1
Artur Psakin,,"Rokovaya Istina', '72 chasa', 'Zayezzhiy molodets', 'None'","Reparto', 'Dirección'",1
Anastasiya Korolkova,,"Noch na kordone', 'So dna vershiny', '72 chasa', 'Catalina'","Reparto', 'Localización', 'Dirección de la segunda unidad o asistencia a dirección'",1
Nikolay Sakharov,,"Aquatilis', 'Dobroy nochi!', 'Autlo', 'Zitaru dzimta'",Reparto',
Claudia de Vasco,,"Roman J. Israel, Esq.', 'Anatomía de Grey', 'Los 33: una historia de esperanza', 'S.W.A.T.: Los hombres de Harrelson'","Reparto', 'Equipos adicionales', 'Arte'",
Michael Svoboda,,"A Wong Foo, ¡gracias por todo! Julie Newmar', 'Confession', 'Reply', 'Club de Cuervos'","Equipos adicionales', 'Guion', 'Producción'",
Will Bigio,,"Pink Lemonade', 'None', 'None', 'None'",Reparto',
Jordan Officer,,"Pink Lemonade', 'None', 'None', 'None'",Reparto',
Audrey Shapiro,,"Sirens', 'Pink Lemonade', 'Charades', 'We Regret to Inform You'",Reparto',
Vijay Chendoor,,"Karva', 'Dwimukha', 'Hitler', 'Bond Ravi'",Reparto',
Chethan Durga,,"Khasagi Putagalu', 'Mrutyunjaya', 'Gajanana and gang', 'Sathya - S/O Harishchandra'",Reparto',
Ashwin Hassan,,"ACT 1978', 'Kreem', 'Kaiva', 'Avane Srimannarayana'",Reparto',
Vinay Krishnaswamy,,"Avane Srimannarayana', 'Aavarta', 'None', 'None'",Reparto',
Shri Mahadev,,"Avalum naanum', 'Gajanana and gang', 'Iruvudellava Bittu', 'Padavi Poorva'",Reparto',
Aditi Prabhudeva,1994,"Dhairyam', 'Chaos', 'Dilmaar', 'Mafia'",Reparto',
Suchendra Prasad,,"Brahma', 'Kempe Gowda 2', 'Manasmita', 'Drama'",Reparto',
Raaghu Raamanakoppa,,"Avane Srimannarayana', 'Shivaji Surathkal', 'Kirik Party', 'Shivaji Surathkal 2'",Reparto',
Natya Ranga,,"Abhiramachandra', 'Yellow Gangs', 'Karmanye Vadhikaraste', 'Baang'",Reparto',
Nagendra Shah,,"Mouni', 'Paaru', 'Jackson', 'Gajanana and gang'",Reparto',
Esme Pellegrini,,"Midnight Taxi', 'The Nightingale', 'To Be A Woman', 'None'","Reparto', 'Casting'",
April Spiers,,"The Nightingale', 'None', 'None', 'None'","Reparto', 'Casting'",
Joshua Lyster,,"La dama del cielo', 'Gente de barrio', 'Izzy Bizu - Dumb', 'The Nightingale'","Reparto', 'Especialistas'",
Stefan Boehm,,"Blue Lights', 'The Liberator', 'Lucky Man', 'La guerra de los Mundos: El ataque'","Reparto', 'Producción'",
Sam Woodhams,,"Inside Edge', 'Fred', 'RED', 'Basur'","Reparto', 'Banda sonora'",
Lorna Lowe,,"FBI: International', 'Cold Mind', 'Cleaner', 'Romeo: A Documentary Film by Lorna Lowe'","Reparto', 'Dirección', 'Dirección de fotografía y cámara'",
Woinkpa,,"The Nightingale', 'None', 'None', 'None'",Reparto',
Cindy Evans,,"Caperucita roja ¿A quién tienes miedo?', 'Morbius', 'Misteriosa obsesión', 'Atrapada'","Diseño de vestuario', 'Vestuario'",1
Kieran E. Sims,,"616', 'Hearts & Minds', 'Caught Short', 'Infinity'",Reparto',
Adja Gaye,,"Cost of Living', 'The Nightingale', 'None', 'None'",Reparto',
Anuj Mishra,,"Lo que ignoramos', 'Hero of Nation Chandra Shekhar Azad', 'None', 'None'",Reparto',
Amrit Pal,1941,"Border', 'Woh Kaun Thi', 'Yaar Gaddar', 'Dushmani: A Violent Love Story'","Reparto', 'Dirección'",
Aparna Paranjape,,"Resham Dunkkk', 'Warning', 'Addiction', 'None'",Reparto',
