nombre_actor,anno_nacimiento,peliculas,que_hace,premios
Valerii Mironov,,"The Real Folks Kino', 'Los Cops', 'Krasnyy Ded Otmshcheniya', 'None'","Dirección', 'Guion', 'Dirección de fotografía y cámara'",
Artem Redko,,"Krasnyy Ded Otmshcheniya', 'None', 'None', 'None'",Reparto',
Vladimir Arhipov,,"Los Cops', 'Krasnyy Ded Otmshcheniya', 'None', 'None'","Reparto', 'Guion'",
Damir Izmajlov,,"Krasnyy Ded Otmshcheniya', 'None', 'None', 'None'",Reparto',
Vitaliy Mihailov,,"Krasnyy Ded Otmshcheniya', 'None', 'None', 'None'",Reparto',
Roman Safin,,"Chego khochet Slava?', 'Krasnyy Ded Otmshcheniya', 'None', 'None'",Reparto',
Anastasia Karpova,,"Krasnyy Ded Otmshcheniya', 'Serebro: Gun', 'None', 'None'",Reparto',
Joshua Stamp,,"""A Hand Puppet's Job"", 'The Shakespeare Guy', 'None', 'None'","Reparto', 'Dirección', 'Guion'",
Mustika,,"None', 'None', 'None', 'None'",222',
Andika Pratama,,"Ketika Berhenti di Sini', 'Candy Caddy', 'The Architecture of Love', 'Sehidup Semati'",Arte',
Dovi Putra,,"Scapegoat', 'None', 'None', 'None'",Reparto',
Ella Howard,,"Ha llegado un inspector', 'Distant Shores', 'Britannia High', 'Cinco días'","Producción', 'Dirección de la segunda unidad o asistencia a dirección', 'Equipos adicionales'",1
Adam Maksoud,,"Exonerated', 'Diane', 'I am Poison', 'Detained'","Cámara y electricidad', 'Producción', 'Reparto'",
Dwight Taylor,,"Sombrero de copa', 'Manos peligrosas', 'Un hombre inverosímil', 'Noche de pesadilla'","Guion', 'Producción', 'Equipos adicionales'",
David Wright,,"The Gimmicks', 'Star Trek: Lower Decks', 'Envíos Sideralex', 'Legendary Dudas'","Equipos adicionales', 'Guion', 'Producción'",
Ryan Dailey,,"Intertwined Chaos', 'My Dear Family', 'S.O.S.: Mulheres ao Mar 2', 'None'","Cámara y electricidad', 'Reparto', 'Sonido'",
Alex Hodgins,,"Jackrabbit', 'The Examination of a Species', 'Today in New York', 'Sublets'",Reparto',
Rebecca Rose Perkins,,"City of Ember: En busca de la luz', 'Jackrabbit', 'Monster House', 'Looney Tunes: De nuevo en acción'","Producción', 'Guion', 'Equipos adicionales'",
Joe Howes,,"Alita: Ángel de combate', 'Mortal Engines', 'Vengadores: Endgame', 'Géminis'","Efectos visuales', 'Reparto', 'Equipos adicionales'",
David Munch-Lunch,,"Jackrabbit', 'None', 'None', 'None'",Reparto',
Reed Birney,1954,"Mass', 'El menú', 'House of Cards', 'Georgia'","Reparto', 'Producción'",4
Kirk Hunter,,"Barn of the Blood Llama', 'Terrorist Parking', 'Big Shadow', 'Absurd Solemnity'","Reparto', 'Edición', 'Producción'",
Kathleen Carrier'e Pefferkorn,1965,"Gotcha', 'Infidelity', 'Bellatrix', 'Horror Host the Motion Picture'","Reparto', 'Maquillaje', 'Dirección'",
Charles Reynolds,,"Examen final', 'Carnival Magic', 'None', 'None'","Dirección de la segunda unidad o asistencia a dirección', 'Reparto'",
Eric Chisholm,1914,"La trampa', 'La terrible historia del Dr. Jekyll y Mr. Hyde', 'Programme X', 'Mata y mata otra vez'",Reparto',
Charles C. Brooks,,"Fighting for Honor', 'Jessica Lives', 'None', 'None'","Producción', 'Guion', 'Reparto'",
Arden Debelle,,"Devil Board', 'None', 'None', 'None'",Reparto',
